jira_id,coverage_percentage
1,90
2,80
3,80
4,90
5,80
6,80
7,80
8,90
9,80
10,90
11,80
12,80
13,80
14,80
15,80
16,90
17,80
18,90
19,90
20,90
21,90
22,90
23,90
24,90
25,80
26,90
27,80
28,80
29,80
30,90
31,80
32,80
33,90
34,90
35,90
36,90
37,80
38,90
39,90
40,90
41,90
42,90
43,80
44,80
45,80
46,80
47,80
48,90
49,80
50,90
51,80
52,80
53,80
54,80
55,90
56,80
57,80
58,80
59,90
60,90
61,80
62,70
63,80
64,80
65,80
66,80
67,90
68,80
69,90
70,80
71,80
72,80
73,80
74,80
75,80
76,80
77,90
78,90
79,80
80,90
81,90
82,90
83,90
84,90
85,90
86,90
87,90
88,90
89,90
90,90
91,90
92,90
93,90
94,90
95,90
96,90
97,80
98,90
99,90
100,90
